season,reference,band_index,age_band,population
2016_17,2016-06,0,0-4,1105037
2016_17,2016-06,1,5-9,1176897
2016_17,2016-06,2,10-14,1164698
2016_17,2016-06,3,15-19,1520515
2016_17,2016-06,4,20-24,1783137
2016_17,2016-06,5,25-29,1753436
2016_17,2016-06,6,30-34,1905403
2016_17,2016-06,7,35-39,2121660
2016_17,2016-06,8,40-44,2181750
2016_17,2016-06,9,45-49,2321126
2016_17,2016-06,10,50-54,2069910
2016_17,2016-06,11,55-59,2028672
2016_17,2016-06,12,60-64,1463595
2016_17,2016-06,13,65-69,997193
2016_17,2016-06,14,70+,1997436
2017_18,2017-06,0,0-4,1042254
2017_18,2017-06,1,5-9,1172633
2017_18,2017-06,2,10-14,1167674
2017_18,2017-06,3,15-19,1439181
2017_18,2017-06,4,20-24,1755477
2017_18,2017-06,5,25-29,1822973
2017_18,2017-06,6,30-34,1807548
2017_18,2017-06,7,35-39,2146295
2017_18,2017-06,8,40-44,2119022
2017_18,2017-06,9,45-49,2349511
2017_18,2017-06,10,50-54,2058334
2017_18,2017-06,11,55-59,2080066
2017_18,2017-06,12,60-64,1546135
2017_18,2017-06,13,65-69,1048866
2017_18,2017-06,14,70+,2123894
2019_20,2019-06,0,0-4,933536
2019_20,2019-06,1,5-9,1156547
2019_20,2019-06,2,10-14,1146612
2019_20,2019-06,3,15-19,1311672
2019_20,2019-06,4,20-24,1689028
2019_20,2019-06,5,25-29,1945898
2019_20,2019-06,6,30-34,1761455
2019_20,2019-06,7,35-39,2095520
2019_20,2019-06,8,40-44,2028568
2019_20,2019-06,9,45-49,2312574
2019_20,2019-06,10,50-54,2164205
2019_20,2019-06,11,55-59,2091185
2019_20,2019-06,12,60-64,1774446
2019_20,2019-06,13,65-69,1153998
2019_20,2019-06,14,70+,2360555
